tests with processor pinned:

32-bit DIGITs, AVX enabled.  Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz   3.41 GHz.  16 GB RAM
SpeedCheckBasicMultiply
Size (BYTEs): 4 Size (DIGITs): 1        Register block size: 1  Iterations: 10000000    Time: 119230
Size (BYTEs): 4 Size (DIGITs): 1        Register block size: 2  Iterations: 10000000    Time: 55439
Size (BYTEs): 4 Size (DIGITs): 1        Register block size: 3  Iterations: 10000000    Time: 75814
Size (BYTEs): 4 Size (DIGITs): 1        Register block size: 4  Iterations: 10000000    Time: 59898
Size (BYTEs): 4 Size (DIGITs): 1        Register block size: 5  Iterations: 10000000    Time: 60550
Size (BYTEs): 4 Size (DIGITs): 1        Register block size: 6  Iterations: 10000000    Time: 62128
Size (BYTEs): 8 Size (DIGITs): 2        Register block size: 1  Iterations: 10000000    Time: 147230
Size (BYTEs): 8 Size (DIGITs): 2        Register block size: 2  Iterations: 10000000    Time: 142392
Size (BYTEs): 8 Size (DIGITs): 2        Register block size: 3  Iterations: 10000000    Time: 179982
Size (BYTEs): 8 Size (DIGITs): 2        Register block size: 4  Iterations: 10000000    Time: 172278
Size (BYTEs): 8 Size (DIGITs): 2        Register block size: 5  Iterations: 10000000    Time: 186426
Size (BYTEs): 8 Size (DIGITs): 2        Register block size: 6  Iterations: 10000000    Time: 166374
Size (BYTEs): 12 Size (DIGITs): 3       Register block size: 1  Iterations: 10000000    Time: 218958
Size (BYTEs): 12 Size (DIGITs): 3       Register block size: 2  Iterations: 10000000    Time: 222637
Size (BYTEs): 12 Size (DIGITs): 3       Register block size: 3  Iterations: 10000000    Time: 219127
Size (BYTEs): 12 Size (DIGITs): 3       Register block size: 4  Iterations: 10000000    Time: 186628
Size (BYTEs): 12 Size (DIGITs): 3       Register block size: 5  Iterations: 10000000    Time: 191651
Size (BYTEs): 12 Size (DIGITs): 3       Register block size: 6  Iterations: 10000000    Time: 202981
Size (BYTEs): 16 Size (DIGITs): 4       Register block size: 1  Iterations: 10000000    Time: 228532
Size (BYTEs): 16 Size (DIGITs): 4       Register block size: 2  Iterations: 10000000    Time: 274572
Size (BYTEs): 16 Size (DIGITs): 4       Register block size: 3  Iterations: 10000000    Time: 252602
Size (BYTEs): 16 Size (DIGITs): 4       Register block size: 4  Iterations: 10000000    Time: 274113
Size (BYTEs): 16 Size (DIGITs): 4       Register block size: 5  Iterations: 10000000    Time: 271460
Size (BYTEs): 16 Size (DIGITs): 4       Register block size: 6  Iterations: 10000000    Time: 272638
Size (BYTEs): 20 Size (DIGITs): 5       Register block size: 1  Iterations: 10000000    Time: 337212
Size (BYTEs): 20 Size (DIGITs): 5       Register block size: 2  Iterations: 10000000    Time: 369293
Size (BYTEs): 20 Size (DIGITs): 5       Register block size: 3  Iterations: 10000000    Time: 389412
Size (BYTEs): 20 Size (DIGITs): 5       Register block size: 4  Iterations: 10000000    Time: 310930
Size (BYTEs): 20 Size (DIGITs): 5       Register block size: 5  Iterations: 10000000    Time: 365984
Size (BYTEs): 20 Size (DIGITs): 5       Register block size: 6  Iterations: 10000000    Time: 463628
Size (BYTEs): 24 Size (DIGITs): 6       Register block size: 1  Iterations: 10000000    Time: 491724
Size (BYTEs): 24 Size (DIGITs): 6       Register block size: 2  Iterations: 10000000    Time: 496754
Size (BYTEs): 24 Size (DIGITs): 6       Register block size: 3  Iterations: 10000000    Time: 464892
Size (BYTEs): 24 Size (DIGITs): 6       Register block size: 4  Iterations: 10000000    Time: 448019
Size (BYTEs): 24 Size (DIGITs): 6       Register block size: 5  Iterations: 10000000    Time: 396056
Size (BYTEs): 24 Size (DIGITs): 6       Register block size: 6  Iterations: 10000000    Time: 484495
Size (BYTEs): 28 Size (DIGITs): 7       Register block size: 1  Iterations: 10000000    Time: 559220
Size (BYTEs): 28 Size (DIGITs): 7       Register block size: 2  Iterations: 10000000    Time: 541643
Size (BYTEs): 28 Size (DIGITs): 7       Register block size: 3  Iterations: 10000000    Time: 562040
Size (BYTEs): 28 Size (DIGITs): 7       Register block size: 4  Iterations: 10000000    Time: 602246
Size (BYTEs): 28 Size (DIGITs): 7       Register block size: 5  Iterations: 10000000    Time: 571401
Size (BYTEs): 28 Size (DIGITs): 7       Register block size: 6  Iterations: 10000000    Time: 472244
Size (BYTEs): 32 Size (DIGITs): 8       Register block size: 1  Iterations: 10000000    Time: 693318
Size (BYTEs): 32 Size (DIGITs): 8       Register block size: 2  Iterations: 10000000    Time: 780667
Size (BYTEs): 32 Size (DIGITs): 8       Register block size: 3  Iterations: 10000000    Time: 908396
Size (BYTEs): 32 Size (DIGITs): 8       Register block size: 4  Iterations: 10000000    Time: 758512
Size (BYTEs): 32 Size (DIGITs): 8       Register block size: 5  Iterations: 10000000    Time: 838234
Size (BYTEs): 32 Size (DIGITs): 8       Register block size: 6  Iterations: 10000000    Time: 753235
Size (BYTEs): 36 Size (DIGITs): 9       Register block size: 1  Iterations: 10000000    Time: 1044887
Size (BYTEs): 36 Size (DIGITs): 9       Register block size: 2  Iterations: 10000000    Time: 1041545
Size (BYTEs): 36 Size (DIGITs): 9       Register block size: 3  Iterations: 10000000    Time: 1108085
Size (BYTEs): 36 Size (DIGITs): 9       Register block size: 4  Iterations: 10000000    Time: 868501
Size (BYTEs): 36 Size (DIGITs): 9       Register block size: 5  Iterations: 10000000    Time: 1326693
Size (BYTEs): 36 Size (DIGITs): 9       Register block size: 6  Iterations: 10000000    Time: 1088587
Size (BYTEs): 40 Size (DIGITs): 10      Register block size: 1  Iterations: 10000000    Time: 1309452
Size (BYTEs): 40 Size (DIGITs): 10      Register block size: 2  Iterations: 10000000    Time: 1413245
Size (BYTEs): 40 Size (DIGITs): 10      Register block size: 3  Iterations: 10000000    Time: 1236071
Size (BYTEs): 40 Size (DIGITs): 10      Register block size: 4  Iterations: 10000000    Time: 1064642
Size (BYTEs): 40 Size (DIGITs): 10      Register block size: 5  Iterations: 10000000    Time: 1130607
Size (BYTEs): 40 Size (DIGITs): 10      Register block size: 6  Iterations: 10000000    Time: 1151948
Size (BYTEs): 44 Size (DIGITs): 11      Register block size: 1  Iterations: 10000000    Time: 1471979
Size (BYTEs): 44 Size (DIGITs): 11      Register block size: 2  Iterations: 10000000    Time: 1218787
Size (BYTEs): 44 Size (DIGITs): 11      Register block size: 3  Iterations: 10000000    Time: 1249260
Size (BYTEs): 44 Size (DIGITs): 11      Register block size: 4  Iterations: 10000000    Time: 1237547
Size (BYTEs): 44 Size (DIGITs): 11      Register block size: 5  Iterations: 10000000    Time: 1133113
Size (BYTEs): 44 Size (DIGITs): 11      Register block size: 6  Iterations: 10000000    Time: 1415135
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 1  Iterations: 10000000    Time: 1769627
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 2  Iterations: 10000000    Time: 1476142
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 3  Iterations: 10000000    Time: 1440771
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 4  Iterations: 10000000    Time: 1425540
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 5  Iterations: 10000000    Time: 1432887
Size (BYTEs): 48 Size (DIGITs): 12      Register block size: 6  Iterations: 10000000    Time: 1427001
Size (BYTEs): 52 Size (DIGITs): 13      Register block size: 1  Iterations: 10000000    Time: 1903960
